Gap_ID,Start,End
Gap_100,1997-03-30 00:00:00,1997-04-04 23:00:00
Gap_101,1997-07-01 00:00:00,1997-08-09 23:00:00
Gap_102,1998-05-01 00:00:00,1998-07-31 23:00:00
Gap_103,1998-09-22 00:00:00,1999-02-06 23:00:00
Gap_104,1999-04-01 00:00:00,1999-04-30 23:00:00
Gap_105,2000-01-17 00:00:00,2000-01-31 23:00:00
Gap_106,2001-07-19 00:00:00,2001-07-31 23:00:00
Gap_107,2001-08-27 00:00:00,2001-09-07 23:00:00
Gap_108,2002-01-01 00:00:00,2002-03-08 23:00:00
Gap_109,2002-04-21 00:00:00,2002-05-08 23:00:00
Gap_110,2002-08-25 00:00:00,2002-09-30 23:00:00
Gap_111,2002-11-01 00:00:00,2002-12-31 23:00:00
Gap_112,2003-04-30 00:00:00,2003-05-08 23:00:00
Gap_113,2004-01-22 00:00:00,2004-01-28 23:00:00
Gap_114,2004-02-01 00:00:00,2004-02-12 23:00:00
Gap_115,2004-07-01 00:00:00,2004-07-13 23:00:00
Gap_116,2004-08-20 00:00:00,2004-08-31 23:00:00
Gap_117,2004-09-30 00:00:00,2004-12-08 23:00:00
Gap_118,2004-12-26 00:00:00,2005-01-31 23:00:00
Gap_119,2005-04-20 00:00:00,2005-04-30 23:00:00
Gap_120,2005-05-23 00:00:00,2005-07-31 23:00:00
Gap_121,2008-01-31 00:00:00,2010-12-31 23:00:00
Gap_122,2011-09-30 00:00:00,2012-02-29 23:00:00
Gap_123,2012-03-07 00:00:00,2012-03-12 23:00:00
Gap_124,2014-01-01 00:00:00,2015-12-31 23:00:00
Gap_125,2017-02-28 00:00:00,2017-03-31 23:00:00
Gap_126,2017-10-31 00:00:00,2017-10-31 23:00:00
Gap_127,2018-06-01 00:00:00,2018-08-01 23:00:00
Gap_128,2019-05-23 00:00:00,2019-05-27 23:00:00
Gap_129,2019-12-31 00:00:00,2019-12-31 23:00:00
Gap_130,2020-03-25 00:00:00,2020-04-21 23:00:00
Gap_131,2020-10-24 00:00:00,2020-10-27 23:00:00
Gap_132,2020-11-01 00:00:00,2020-12-01 23:00:00
Gap_133,2021-03-01 00:00:00,2021-05-02 23:00:00
Gap_134,2022-04-03 00:00:00,2022-04-10 23:00:00
