          5
   1   1   2 1.0                                                           
       BOMBAY (APOLLO BANDAR) - INDIA,WEST COAST  (constituents used upto 2005 )
 -0530                                             see below for the new
LAT. 18 55 N. LONG. 72 50 E.                     
PORT   ZO 2515YEAR94YDAY  1FSTD  1ENDD372NDC100OTH   SWC 19STEP030 BOMBAY      8
0000931087                3004107                                             37
0012601927                3008214                                             38
0001613919                3054437                                             39
0001026747                3062651                                             40
0000618537                3101590                                             41
0001008216                4292714                                             42
0001605007                4347616                                             43
0001011928                4394304                                             44
0001320818                4402517                                             45
0001525881                4504107                                             46
0001233922                5742383                                             47
0003500748                5796821                                             48
0000403985                5843973                                             49
0003105535                5898410                                             50
0000430968                5906624                                             51
0000234825                6000000                                             52
0000426824                6008214                                             53
0001002270                8640794                                             54
0001202698                8695231                                             55
0000803746                8742383                                             56
0001607169                8796821                                             57
0000300451                8805035                                             58
0000508643                8898410                                             59
0000304732                8906624                                             60
0000504058                2640794                                             61
0001105919                2687018                                             62
0001312065                2695231                                             63
0000822057                2750597                                             64
0000708523                2835759                                             65
0001234177                2991786                                             66
0001014566                3108875                                             67
0001206574                4238277                                             68
0000135088                4300928                                             69
0000505051                4456955                                             70
0000204670                5687018                                             71
0000529333                5695231                                             72
0000611177                5788607                                             73
0000313776                7191124                                             74
0000401188                7246026                                             75
0000906258                7300928                                             76
0000231442                8484767                                             77
0000320943                8539204                                             78
0000433360                8585428                                             79
0000127351                8593642                                             80
0000303907                8632580                                             81
0000126527                8648079                                             82
0000300510                8687018                                             83
0000200276                8749669                                             84
0000531448                8851258                                             85
0000213218                8859472                                             86
0000102218               11484767                                             87
0000235891               11539204                                             88
0000207798               11593642                                             89
0000203508               11640794                                             90
0000312992               11695231                                             91
0000215766               11703445                                             92
0000335765               11750597                                             93
0000210445               11796821                                             94
0000216637               11805035                                             95
0000214951               14593642                                             96
0000111423               14695231                                             97
0000000554               17437615                                             98
0000119585               17492052                                             99
0000130767               17593642                                            100
   0.0423   0.0592   4.4910   3.120    0.00     0.0      0.0      0.0          1
   0.0089   0.0510   1.2040   1.607  264.20   171.0    158.0    281.9          2
   0.0391   0.0386   2.0300   1.285  155.30   130.2    220.3    208.0          3
   0.0108   0.0137   0.7390   0.887  269.50    13.9    274.3    254.0          4
   0.0109   0.0060   1.2280   1.151  200.40    53.1    157.8    346.9          5
   0.0286   0.0115   0.3720   0.212   93.40    33.7    353.4     37.7          6
   0.0156   0.0099   0.6540   1.003  329.50   245.5     95.3    195.3          7
   0.0052   0.0048   0.4800   0.337  295.10   189.7     93.8     64.5          8
   0.0089   0.0067   1.1200   1.249  222.30    20.9    245.2     93.7          9
   0.0039   0.0072   0.2880   0.723  267.10   337.0    247.7     97.2         10
   0.0023   0.0048   0.6770   0.297  192.80   344.2    282.0      3.1         11
  -0.0034   0.0028  -0.1230  -0.260    0.00     0.0      0.0      0.0         12
   0.0128   0.0100   0.3390   0.667   69.90   285.0    170.3     61.4         13
   0.0043   0.0090   4.0960   2.240  123.70    91.3    100.7     42.6         14
   0.0163   0.0218   1.9220   2.110  267.20   108.8    315.3     76.7         15
   0.0047   0.0010   0.3580   0.902  279.90   174.3     71.4    354.1         16
   0.0125   0.0113   2.0440   1.997  132.70   242.5     55.7    326.1         17
   0.0030   0.0008   0.5720   1.244  185.70   172.9    168.0    238.1         18
   0.0018   0.0025   0.5510   0.639  312.70   123.7    284.4    219.4         19

1   1   2 1.0
 INDIA - MUMBAI (APOLLO BANDAR) - INDIA,WEST COAST    (THESE CONSTITUENTS ARE USED for 2017)                                                               
 -0530                                             
LAT. 18 55 N. LONG. 72 50 E.                     
PO   ZO 2568YEAR2006YDAY  1FSTD  1ENDD372NDC100OTH   SWC 19STEP030 MUMBAI      8
0003433020                 004107                                              1
0002320345                 008214                                              2
0000210909                 054437                                              3
0001223544                 101590                                              4
0000806785                 109803                                              5
0000906393                1285429                                              6
0000805023                1292714                                              7
0004205775                1339866                                              8
0000705316                1347151                                              9
0019605205                1394304                                             10
0000810007                1402517                                             11
0001404945                1449205                                             12
0000303249                1456955                                             13
0000905303                1491786                                             14
0011405262                1495893                                             15
0002119263                1500000                                             16
0041605497                1504107                                             17
0000515882                1508214                                             18
0000512425                1512321                                             19
0000504551                1551259                                             20
0003007459                1558544                                             21
0000814606                1605696                                             22
0002209963                1613910                                             23
0000612885                2734170                                             24
0001928791                2742383                                             25
0004629463                2789535                                             26
0006430603                2796821                                             27
0027932450                2843973                                             28
0004432363                2851258                                             29
0000418354                2890197                                             30
0117234328                2898410                                             31
0000307367                2906624                                             32
0000321329                2945563                                             33
0002829373                2952848                                             34
0003302525                2995893                                             35
0047302117                3000000                                             36
0001734121                3004107                                             37
0012401555                3008214                                             38
0001006959                3054437                                             39
0000919418                3062651                                             40
0001312272                3101590                                             41
0001410587                4292714                                             42
0002003397                4347616                                             43
0000714279                4394304                                             44
0001419733                4402517                                             45
0001924756                4504107                                             46
0000807468                5742383                                             47
0003001992                5796821                                             48
0000204143                5843973                                             49
0003208047                5898410                                             50
0000506742                5906624                                             51
0000424939                6000000                                             52
0000222958                6008214                                             53
0000325906                8640794                                             54
0000526902                8695231                                             55
0000327633                8742383                                             56
0000834325                8796821                                             57
0000202989                8805035                                             58
0000232849                8898410                                             59
0000105970                8906624                                             60
0000805439                2640794                                             61
0000608903                2687018                                             62
0000712216                2695231                                             63
0000329483                2750597                                             64
0000121045                2835759                                             65
0000209553                2991786                                             66
0000714326                3108875                                             67
0000605382                4238277                                             68
